gui_time_s,gr_active
3.501584708,22.0
3.5017101150000003,100.0
3.501835491,100.0
3.501960899,100.0
3.502086307,100.0
3.502211683,100.0
3.5023370910000002,100.0
3.502462531,100.0
3.502587938,100.0
3.502713346,100.0
3.502838754,100.0
3.502964162,100.0
3.5030895380000002,100.0
3.503214913,100.0
3.503340321,100.0
3.503465729,80.0
3.503591105,36.0
3.503716513,100.0
3.5038419210000002,100.0
3.503967329,100.0
3.504092768,100.0
3.504218176,100.0
3.504343616,100.0
3.504469024,100.0
3.5045944,100.0
3.504719776,100.0
3.504845184,100.0
3.504970591,100.0
3.505095967,100.0
3.505221407,100.0
3.505346847,100.0
3.505472255,48.0
3.505597694,0.0
3.505723134,0.0
3.5058486060000003,0.0
3.505974046,0.0
3.50609955,0.0
3.50622499,0.0
3.5063504930000002,0.0
3.506475901,0.0
3.506601341,0.0
3.5067267490000003,0.0
3.506852189,0.0
3.506977597,0.0
3.507103068,0.0
3.507228476,0.0
3.507353916,0.0
3.507479356,0.0
3.507604796,0.0
3.507730204,0.0
3.507855644,0.0
3.507981083,0.0
3.508106523,0.0
3.508231931,0.0
3.508357403,0.0
3.508482811,0.0
3.508608251,0.0
3.5087336590000002,0.0
3.5088590980000003,0.0
3.508984474,0.0
3.509109914,0.0
3.509235322,0.0
3.509360794,0.0
3.509486234,0.0
3.509611642,0.0
3.509737049,0.0
3.509862457,0.0
3.5099878970000002,0.0
3.510113273,0.0
3.510238681,0.0
3.510364089,0.0
3.510489496,0.0
3.510614904,0.0
3.5107402800000003,0.0
3.510865688,0.0
3.510991064,0.0
3.5111164710000002,0.0
3.511241847,0.0
3.511367223,0.0
3.511492631,0.0
3.511618039,0.0
3.511743415,0.0
3.5118688540000003,0.0
3.511994262,0.0
3.512119734,0.0
3.5122451100000003,0.0
3.512370518,0.0
3.512495925,0.0
3.5126213330000002,0.0
3.512746774,0.0
3.512872181,0.0
3.5129975570000003,0.0
3.513122965,0.0
3.513248341,0.0
3.513373749,0.0
3.513499156,0.0
3.513624564,0.0
